|,|__ax,|__ay,|__az,|__gx,|__gy,|__gz,|__h,ACC_N,GYRO,EA,EG,label
20:07:10 429564,4.5,-27.6,-3.1,-5.6,2.4,-2.2,88,28.13574239,6.477653896,28.15723708,0,1
20:07:11 044075,-0.8,-2.1,7.6,-5.6,2.4,-2.2,88,7.92527602,6.477653896,33.80266262,13.87119317,1
20:07:11 627117,19,-29.4,5.3,3.4,-2.2,-11.7,88,35.40409581,12.38103388,35.17683897,0,1
20:07:12 040224,-3.4,-2.8,10.6,3.4,-2.2,-11.7,88,11.47867588,12.38103388,28.14142854,10.60707311,1
20:07:12 567413,6.3,-28.7,5.4,0.1,-0.3,-1.8,88,29.87540795,1.827566688,24.97799031,0,1
20:07:13 344384,5.8,-4.1,9.7,0.1,-0.3,-1.8,89,12.02247895,1.827566688,26.44711705,2.903446228,1
20:07:13 715071,18,-25.6,0.3,2.4,1.4,-2.3,89,31.2961659,3.606937759,43.888609,11.34372073,1
20:07:14 352469,-11.9,3.6,13.7,-4.8,-2.6,5.5,89,18.50027027,7.749193506,56.12423719,0,1
20:07:14 977875,-4.5,-38.3,-22.9,-4.8,-2.6,5.5,89,44.85030658,7.749193506,50.98607653,20.61140461,1
20:07:15 148430,24.2,-3.8,1.3,0.7,2.1,-13.8,89,24.53100079,13.97640869,13.8747973,0,1
20:07:15 920852,37.9,-2.7,-0.6,0.7,2.1,-13.8,89,38.00078947,13.97640869,30.36264152,15.02797392,1
20:07:16 807479,9.7,8.2,2.2,2.1,-0.1,1,89,12.89069432,2.328089345,45.58431748,0,1
20:07:17 070084,-0.1,-20.3,-32,2.1,-0.1,1,89,37.89591007,2.328089345,46.46299603,5.228766585,1
20:07:17 555812,25.4,-7.3,4.6,-2.1,-2.2,3.3,89,26.82554752,4.487761134,21.79655936,0,1
20:07:18 355738,28.6,-27.4,-3.2,-2.1,-2.2,3.3,89,39.73612966,4.487761134,72.69394748,3.848376281,1
20:07:18 590296,-30.1,14.2,-13.6,-2.7,0,6.4,89,35.95288584,6.946221995,82.18570435,10.75267409,1
20:07:19 202966,39.2,-18.6,16,-12.8,-2,3.3,90,46.24499973,13.36899398,30.84104408,0,1
20:07:19 899763,12.4,-6.9,6.2,-12.8,-2,3.3,90,15.48579995,13.36899398,16.40640119,7.871467462,1
20:07:20 183004,13.6,-12.7,-9.1,-10.4,3.4,-1.9,90,20.71376354,11.10540409,17.24818831,0,1
