"|","|__acc","|__gyro"
"01:42:32 653025","117.95506949156879",""
"01:42:33 101837","","2069.1924305375514"
"01:42:33 622448","73.05874557974494",""
"01:42:34 036945","","96301.02929268552"
"01:42:34 664319","59.20802810794157",""
"01:42:35 078497","","8238.764804543694"
"01:42:35 622901","48.21923600138689",""
"01:42:36 072841","","33730.201530149905"
"01:42:36 682963","75.15551594060707",""
"01:42:36 894397","","8315.530393799683"
"01:42:37 502787","113.49431501980325",""
"01:42:37 934645","","1673.5021480682562"
"01:42:38 491445","112.20226240045668",""
"01:42:38 915821","","50000.2543071969"
"01:42:39 621356","76.93910565360602",""
"01:42:39 864975","","79998.71237492618"
"01:42:40 536744","118.15993691429867",""
"01:42:40 744259","","2187.820516098466"
"01:42:41 492163","71.89345623951613",""
"01:42:41 918726","","8122.3651830795325"
"01:42:42 519873","99.51514388488886",""
"01:42:42 921872","","3923.875597977285"
"01:42:43 493001","123.65515197308832",""
"01:42:43 948302","","112463.67809661376"
"01:42:44 483343","71.15107827270367",""
"01:42:44 877184","","703.6279736746919"
"01:42:45 503410","40.767858094108306",""
"01:42:45 688956","","6.307341493870808"
"01:42:46 490698","44.84064124505767",""
"01:42:46 922342","","2411.8995401551047"
"01:42:47 462879","105.8602203980281",""
"01:42:47 709154","","2928.762048132443"
"01:42:48 468450","101.92215284581562",""
"01:42:48 914530","","26185.48881761475"
"01:42:49 406265","77.29344783261422",""
"01:42:49 883895","","4928.8583896486825"
"01:42:50 474377","124.51005095717846",""
"01:42:50 871316","","9731.325364384706"
"01:42:51 521097","84.82922934513499",""
"01:42:51 860226","","2359.8263957034305"
"01:42:52 341933","32.20100089582138",""
"01:42:52 536036","","16975.144390907975"
"01:42:53 322642","38.68914311503431",""
"01:42:53 568983","","12823.631224312343"
"01:42:54 294350","49.099411126932864",""
"01:42:54 784041","","33926.3043940746"
"01:42:55 299248","140.1828817491778",""
"01:42:55 763426","","3610.0433495989055"
"01:42:56 484153","214.72188238289255",""
"01:42:56 866096","","7951.01611666041"
"01:42:57 305529","366.314775991068",""
"01:42:57 523946","","10569.21482105623"
"01:42:58 324505","200.67656937623633",""
"01:42:58 713874","","11327.116657687198"
"01:42:59 298729","148.41997791613812",""
"01:42:59 725922","","22180.28737623807"
"01:43:00 297644","197.25705949192889",""
"01:43:00 554278","","3047.351778113175"
"01:43:01 278712","108.03457438037549",""
"01:43:01 859353","","76480.92298462555"
"01:43:02 338235","105.59455797119699",""
"01:43:02 684310","","19416.193906548982"
"01:43:03 301056","58.38253301564873",""
"01:43:04 080742","","11100.282776537522"
"01:43:04 527667","62.07219631580392",""
"01:43:04 717160","","85138.4789636078"
"01:43:05 321481","86.10126125226179",""
"01:43:05 732900","","539.3566282830761"
"01:43:06 110019","88.60697318862094",""
"01:43:06 599517","","4959.133557314695"
"01:43:07 153407","144.1059714820085",""
"01:43:07 410871","","6418.654228107903"
"01:43:08 133884","215.40543385497858",""
"01:43:08 392276","","858.5637254604671"
"01:43:09 146138","96.72365749533947",""
"01:43:09 368519","","195357.69535009746"
"01:43:10 169199","127.63225983153188",""
"01:43:10 701774","","57147.827654716515"
"01:43:11 141771","81.62680139173426",""
"01:43:11 404498","","144.95214883599692"
"01:43:12 122836","113.84626413427122",""
"01:43:12 358525","","165343.64623696537"
"01:43:13 150839","44.755663537544024",""
"01:43:13 369330","","4988.538749448231"
